Datetime,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,SMA_20,SMA_50,Bollinger_sup,Bollinger_inf,Stoch_K,Stoch_D,ADX,Plus_DI,Minus_DI
,ESE.PA,ESE.PA,ESE.PA,ESE.PA,ESE.PA,,,,,,,,,,,,
2025-05-22 09:04:00+02:00,25.992300033569336,26.0,25.966999053955078,25.97559928894043,99,,0.0,0.0,,,,,,,,,
2025-05-22 09:06:00+02:00,25.984600067138672,25.998600006103516,25.984600067138672,25.991100311279297,9207,,-0.0006142423363506566,-0.00012284846727013133,,,,,,,,,
2025-05-22 09:08:00+02:00,25.98310089111328,25.993000030517578,25.979999542236328,25.992799758911133,2091,,-0.0012080788088901784,-0.00033989453559414074,,,,,,,,,
2025-05-22 09:10:00+02:00,25.99020004272461,25.993000030517578,25.965599060058594,25.988399505615234,1005,,-0.001093253935945171,-0.0004905664156643468,,,,,,,,,
2025-05-22 09:12:00+02:00,25.989599227905273,25.995500564575195,25.971099853515625,25.995500564575195,421,,-0.0010387609420341448,-0.0006002053209383065,,,,,,,,,
2025-05-22 09:14:00+02:00,25.974199295043945,25.999900817871094,25.963699340820312,25.99090003967285,320,,-0.0022127139421002084,-0.0009227070451706869,,,,,,,,,
2025-05-22 09:16:00+02:00,25.966699600219727,25.977800369262695,25.96179962158203,25.975500106811523,3721,,-0.003705527829076516,-0.0014792712019518527,,,,,,,,,
2025-05-22 09:18:00+02:00,25.9596004486084,25.969900131225586,25.950000762939453,25.969900131225586,490,,-0.005399197210042672,-0.0022632564035700168,,,,,,,,,
2025-05-22 09:20:00+02:00,25.96150016784668,25.9773006439209,25.96150016784668,25.96969985961914,3355,,-0.006513072287685162,-0.0031132195803930457,,,,,,,,,
2025-05-22 09:22:00+02:00,25.961200714111328,25.971599578857422,25.957399368286133,25.971599578857422,499,,-0.007335431438090012,-0.0039576619519324395,,,,,,,,,
2025-05-22 09:24:00+02:00,25.96540069580078,25.976900100708008,25.96540069580078,25.976900100708008,210,,-0.007561093983113665,-0.0046783483581686845,,,,,,,,,
2025-05-22 09:26:00+02:00,25.958499908447266,25.967899322509766,25.949899673461914,25.957300186157227,6893,,-0.008202218968435204,-0.005383122480221989,,,,,,,,,
2025-05-22 09:28:00+02:00,25.979900360107422,25.979900360107422,25.948400497436523,25.950199127197266,299,,-0.00690389375078837,-0.005687276734335265,,,,,,,,,
2025-05-22 09:30:00+02:00,25.996299743652344,25.99959945678711,25.97279930114746,25.97949981689453,6809,52.04071702446525,-0.004499797599464728,-0.005449780907361158,,,,,92.82889143533065,,,54.5848876550707,576.2904485121887
2025-05-22 09:32:00+02:00,26.0,26.0,25.989900588989258,25.989900588989258,127,53.78570490819408,-0.002269789594492977,-0.004813782644787522,,,,,100.0,,,58.97262520837378,706.6498851852099
2025-05-22 09:34:00+02:00,26.008499145507812,26.025100708007812,26.0,26.0,523,61.65841676281216,0.00018122873589021538,-0.0038147803686519747,,,,,78.35525824981971,90.39471656171679,,175.47924815227688,596.9018821967769
2025-05-22 09:36:00+02:00,26.010299682617188,26.010700225830078,26.0,26.0,3319,63.22918212854387,0.0022431095477841723,-0.0026032023853647455,,,,,80.70275781463707,86.35267202148559,,176.85358963535413,579.6473682501543
2025-05-22 09:38:00+02:00,25.997900009155273,26.012399673461914,25.989999771118164,26.00819969177246,313,53.561535068372294,0.002843832989796624,-0.0015137953103324716,,,,,64.53634396836844,74.53145334427506,,179.91715280484664,568.3502573284092
2025-05-22 09:40:00+02:00,25.986900329589844,25.990999221801758,25.979999542236328,25.98509979248047,153,48.861203663463556,0.0024046095902612308,-0.0007301143302137312,,,,,50.19521050406585,65.14477076235711,,184.06137001115204,603.763306410733
2025-05-22 09:42:00+02:00,25.970399856567383,25.98259925842285,25.96500015258789,25.97439956665039,460,48.411584587905075,0.0007168086846682797,-0.000440729727237329,25.98185501098633,,26.014824930397793,25.948885091574866,28.682266928605177,47.804607133679816,,193.88709711869114,675.704308080053
2025-05-22 09:44:00+02:00,25.96780014038086,25.972900390625,25.967199325561523,25.96980094909668,208,50.47975388708739,-0.0008210959791483674,-0.0005168029776195368,25.980630016326906,,26.01378595629217,25.94747407636164,25.292815756098776,34.72343106292327,,201.6393078477976,704.3485343225453
2025-05-22 09:46:00+02:00,25.967599868774414,25.976600646972656,25.962400436401367,25.976600646972656,608,53.71032237517251,-0.002032625903975571,-0.0008199675628907437,25.979780006408692,,26.013376139615787,25.946183873201598,25.031706164673118,26.335596283125692,,206.20130386388934,681.3801876291939
2025-05-22 09:48:00+02:00,25.95159912109375,25.96940040588379,25.944000244140625,25.966800689697266,1324,45.93888376022907,-0.004235079353460236,-0.001502989921004642,25.978204917907714,,26.014025646211223,25.942384189604205,9.369708372530573,19.898076764434155,,200.08522769018265,698.3850822153322
2025-05-22 09:50:00+02:00,25.95479965209961,25.963899612426758,25.949899673461914,25.96030044555664,234,47.43550556302726,-0.005657072268078878,-0.002333806390419489,25.976434898376464,,26.01324481066357,25.93962498608936,13.316086547507055,15.905833694903583,,200.23970411982265,708.6315541797487
