Date,Close,High,Low,Open,Volume,DateRef,RSI,MACD,MACD_signal,SMA_20,SMA_50,Bollinger_sup,Bollinger_inf,Stoch_K,Stoch_D,ADX,Plus_DI,Minus_DI
,ESE.PA,ESE.PA,ESE.PA,ESE.PA,ESE.PA,,,,,,,,,,,,,
2015-06-11 02:00:00+02:00,8.0,8.0,7.953330039978027,8.0,12,2015-06-11 02:00:00+02:00,41.171297692559996,-0.042697272408315,-0.0226991022246039,8.077207970619202,8.136266403198242,8.356583141842393,7.797832799396012,32.071390498106574,18.437527815495162,67.65367770963611,238.5284799423183,809.035128697522
2015-06-12 02:00:00+02:00,7.934169769287109,8.036669731140137,7.934169769287109,8.036669731140137,87120,2015-06-12 02:00:00+02:00,35.30930715197957,-0.046347724290068726,-0.027428826637696864,8.077582955360413,8.131349792480469,8.356126258805116,7.79903965191571,17.837830035682877,22.52183054568374,65.27688489237819,221.612434214568,800.6832548607579
2015-06-15 02:00:00+02:00,7.893330097198486,7.930830001831055,7.887499809265137,7.887499809265137,168,2015-06-15 02:00:00+02:00,31.396133076789084,-0.051937451323696315,-0.032330551574896754,8.077207970619202,8.124399785995484,8.356771498552826,7.797644442685579,9.275157995534828,19.728126176441425,65.47040101526326,111.79755114407281,893.3793454349058
2015-06-16 02:00:00+02:00,7.934169769287109,7.934169769287109,7.829999923706055,7.934169769287109,12,2015-06-16 02:00:00+02:00,31.63373706101416,-0.052467121723899446,-0.036357865604697295,8.075291466712951,8.12073317527771,8.358380653123064,7.792202280302838,23.063279913853172,16.725422648356957,65.94039206908256,108.44225592143037,923.2260465472864
2015-06-17 02:00:00+02:00,7.954999923706055,8.031669616699219,7.954999923706055,8.031669616699219,1992,2015-06-17 02:00:00+02:00,33.41880626125469,-0.05062252499862829,-0.039210797483483495,8.06570794582367,8.118016576766967,8.35158638872433,7.7798295029230085,27.675091319862332,20.004509743083442,66.67241158225096,101.4346797181735,955.8675756108929
2015-06-18 02:00:00+02:00,7.933330059051514,7.933330059051514,7.869999885559082,7.877500057220459,2148,2015-06-18 02:00:00+02:00,36.203327581264965,-0.05032908343419251,-0.0414344546736253,8.053749465942383,8.113049774169921,8.340825516796146,7.76667341508862,25.151524999593768,25.296632077769758,67.60738150749553,103.1179091828645,957.7947729571612
2015-06-19 02:00:00+02:00,7.973330020904541,8.02750015258789,7.973330020904541,8.02750015258789,1416,2015-06-19 02:00:00+02:00,35.00012685566902,-0.04633474811840621,-0.04241451336258148,8.044124484062195,8.108766374588013,8.328271459439454,7.759977508684934,37.228574542608165,30.018396954021423,68.81870076843784,100.32119135210291,999.5918154754758
2015-06-22 02:00:00+02:00,7.971670150756836,7.971670150756836,7.948329925537109,7.971670150756836,792,2015-06-22 02:00:00+02:00,42.448606819253136,-0.04280966310364942,-0.04249354331079507,8.031957983970642,8.102366380691528,8.305955027368936,7.757960940572348,52.63228755159525,38.337462364599055,69.80080041066331,112.36213337967158,977.8441131811619
2015-06-23 02:00:00+02:00,8.088330268859863,8.088330268859863,8.054169654846191,8.054169654846191,600,2015-06-23 02:00:00+02:00,54.535578191411396,-0.030253764703770614,-0.04004558758939018,8.023833012580871,8.095599584579467,8.27952855880136,7.7681374663603835,100.0,63.28695403140114,68.98810328501348,250.27448455183827,873.4838549286993
