Datetime,Close,High,Low,Open,Volume,EstAujourdHui,DateRef,Afficher,RSI,MACD,MACD_signal,SMA_20,SMA_50,Bollinger_sup,Bollinger_inf,Stoch_K,Stoch_D,ADX,Plus_DI,Minus_DI
,ESE.PA,ESE.PA,ESE.PA,ESE.PA,ESE.PA,,,,,,,,,,,,,,,
2024-12-10 10:00:00+01:00,28.77790069580078,28.794200897216797,28.75189971923828,28.761699676513672,0,True,2024-12-10 10:00:00+01:00,True,,0.0,0.0,,,,,,,,,
2024-12-10 11:00:00+01:00,28.815000534057617,28.822900772094727,28.760099411010742,28.779300689697266,29006,True,2024-12-10 11:00:00+01:00,True,,0.002959531256955472,0.0005919062513910945,,,,,,,,,
2024-12-10 12:00:00+01:00,28.822200775146484,28.835599899291992,28.810100555419922,28.815000534057617,13721,True,2024-12-10 12:00:00+01:00,True,,0.0058189036818063755,0.001637305737474151,,,,,,,,,
2024-12-10 13:00:00+01:00,28.820100784301758,28.855600357055664,28.809999465942383,28.823699951171875,13948,True,2024-12-10 13:00:00+01:00,True,,0.007825319802758912,0.002874908550531103,,,,,,,,,
2024-12-10 14:00:00+01:00,28.835800170898438,28.860000610351562,28.809999465942383,28.81999969482422,7357,True,2024-12-10 14:00:00+01:00,True,,0.010560493531418302,0.004412025546708543,,,,,,,,,
2024-12-10 15:00:00+01:00,28.838300704956055,28.850000381469727,28.790000915527344,28.835100173950195,9397,True,2024-12-10 15:00:00+01:00,True,,0.012782561209107257,0.0060861326791882865,,,,,,,,,
2024-12-10 16:00:00+01:00,28.901100158691406,28.92180061340332,28.837600708007812,28.837600708007812,7635,True,2024-12-10 16:00:00+01:00,True,,0.019387470243628968,0.008746400192076422,,,,,,,,,
2024-12-10 17:00:00+01:00,28.86870002746582,28.906299591064453,28.85700035095215,28.88129997253418,7748,True,2024-12-10 17:00:00+01:00,True,,0.021756690839648485,0.011348458321590836,,,,,,,,,
2024-12-11 09:00:00+01:00,28.80780029296875,28.83289909362793,28.792999267578125,28.827499389648438,0,True,2024-12-11 09:00:00+01:00,True,,0.01850687982719279,0.012780142622711228,,,,,,,,,
